nombre_de_producto,categoria,marca,precio,unidades_disponibles,en_descuento,precio_de_descuento,metodo_de_envio,metodos_de_pago,opciones_de_financiacion,politicas_de_devolucion,instrucciones_de_compra
Apple Watch Series 5,Electrónica,Apple,4498.11,922,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Chaleco de Polar Completo Benton Springs para Mujer de Columbia,Deportes y Aire Libre,Columbia,833.55,922,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso de cruzada de piel Saffiano de Hombres de Prada,"Ropa, Zapatos y Accesorios",Prada,4490.1,998,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Leggings de compresión HeatGear para Mujeres de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,9174.52,822,True,8125.12,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Cámara Mirrorless Sony A6400,Electrónica,Sony,6249.9,999,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Smartphone Desbloqueado 5G LG V60 ThinQ,Electrónica,LG,5902.29,770,True,3479.32,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple MacBook Pro,Electrónica,Apple,2417.42,930,True,1896.54,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta Badge of Sport de Adidas para Hombres,"Ropa, Zapatos y Accesorios",Adidas,9042.97,946,True,7131.94,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Auriculares Inalámbricos Deportivos True Wireless In-Ear con Cancelación de Ruido Sony WF-SP800N,Electrónica,Sony,9347.67,183,True,7111.33,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta sin mangas Tech Graphic Twist para Mujeres de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,7119.31,867,True,6343.58,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Samsung Galaxy Watch 4,Electrónica,Samsung,2941.32,842,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Garaje Definitivo de Hot Wheels,Juguetes y Juegos,Mattel,1007.68,9,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bugatti Chiron LEGO Technic,Juguetes y Juegos,LEGO,106.26,980,True,77.82,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Controlador Inalámbrico DualShock 4 para PS4 de Sony,Electrónica,Sony,7422.67,518,True,5404.55,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pendientes Interlocking G para Mujeres de Gucci,"Ropa, Zapatos y Accesorios",Gucci,1858.76,823,True,1578.5,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Court Vision Low de Nike para Mujeres,"Ropa, Zapatos y Accesorios",Nike,1894.05,416,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Juego Scrabble,Juguetes y Juegos,Hasbro,1248.98,721,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso de cruzada de piel Saffiano de Mujeres de Prada,"Ropa, Zapatos y Accesorios",Prada,6694.47,555,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Senderismo The North Face Hedgehog Fastpack II WP,Deportes y Aire Libre,The North Face,731.13,681,True,620.27,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Gafas de Sol con Audio Bose Frames Soprano,Electrónica,Bose,8446.33,336,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Shorts Gráficos Tech de Under Armour,Deportes y Aire Libre,Under Armour,391.13,791,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Aspiradora vertical Dyson Small Ball Multi Floor,Cocina y Hogar,Dyson,2539.35,158,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Arrocera Cuisinart,Cocina y Hogar,Cuisinart,4245.35,722,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Running Adidas SolarBoost,Deportes y Aire Libre,Adidas,530.03,343,True,344.2,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
